frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1512,50.4,1,768.863602,376.315802,671.254539,372.853339,720.059071,374.584571,2.772257,1.882012,-1.894948,2.156322,0.438655,2.019167
1513,50.433333,1,768.595791,376.269625,671.276016,372.799104,719.935904,374.534365,2.769087,1.792439,-1.915531,2.062433,0.426778,1.927436
1514,50.466667,1,768.5993,376.186166,671.295586,372.483087,719.947443,374.334626,2.7611,1.878277,-1.927842,1.97137,0.416629,1.924823
1515,50.5,1,768.229504,376.076099,671.406422,372.296244,719.817963,374.186171,2.762236,2.003904,-1.927169,2.020277,0.417533,2.01209
1516,50.533333,1,767.852859,375.90506,671.209869,372.122394,719.531364,374.013727,2.751344,1.919252,-1.924846,1.988619,0.413249,1.953935
1517,50.566667,1,767.555523,375.668929,670.811195,371.847103,719.183359,373.758016,2.746308,1.862759,-1.919818,1.926916,0.413245,1.894837
1518,50.6,1,766.874142,375.414859,670.620251,371.819583,718.747196,373.617221,2.753431,1.816455,-1.915478,2.076008,0.418977,1.946231
1519,50.633333,1,766.143646,375.487204,670.031433,371.755553,718.08754,373.621379,2.74241,1.680534,-1.931385,2.051374,0.405513,1.865954
1520,50.666667,1,765.208225,375.749288,669.605598,371.575052,717.406912,373.66217,2.727145,1.740914,-1.899969,2.055105,0.413588,1.898009
1521,50.7,1,764.735279,375.847156,669.269905,371.680441,717.002592,373.763798,2.737549,1.753786,-1.894024,1.950276,0.421763,1.852031
1522,50.733333,1,763.986244,375.754877,669.053574,371.287519,716.519909,373.521198,2.71709,1.752302,-1.903447,2.134445,0.406821,1.943373
1523,50.766667,1,764.077072,375.608439,669.092426,371.344274,716.584749,373.476357,2.721274,1.688615,-1.907526,1.986805,0.406874,1.83771
1524,50.8,1,764.055138,375.729429,669.140339,371.396942,716.597738,373.563185,2.739201,1.772592,-1.91096,2.058058,0.414121,1.915325
1525,50.833333,1,764.246311,375.969594,669.345303,371.154417,716.795807,373.562005,2.757644,1.789901,-1.903401,2.081913,0.427121,1.935907
